Index,Value
0,13001
1,14228
2,9884
3,5671
4,76
5,132
6,147
7,169
8,198
9,246
10,253
11,261
12,290
13,309
14,321
15,351
16,370
17,399
18,416
19,435
20,455
21,470
22,477
23,502
24,506
25,521
26,538
27,589
28,594
29,615
30,615
31,654
32,691
33,712
34,733
35,779
36,805
37,816
38,851
39,975
40,979
41,1005
42,1010
43,1014
44,1018
45,1052
46,1071
47,1076
48,1129
49,1165
50,1181
51,1231
52,1308
53,1362
54,1435
55,1454
56,1470
57,1499
58,1560
59,1581
60,1600
61,1653
62,1705
63,1776
64,1794
65,1809
66,1820
67,1823
68,1836
69,1904
70,1929
71,1941
72,1993
73,1999
74,2034
75,2129
76,2224
77,2241
78,2257
79,2288
80,2316
81,2353
82,2415
83,2467
84,2472
85,2491
86,2494
87,2540
88,2552
89,2562
90,2594
91,2603
92,2629
93,2637
94,2704
95,2779
96,2801
97,2813
98,2837
99,2840
100,2846
101,2849
102,2853
103,2854
104,2858
105,2871
106,2890
107,2932
108,2980
109,3013
110,3015
111,3016
112,3029
113,3042
114,3068
115,3088
116,3093
117,3113
118,3177
119,3230
120,3253
121,3263
122,3390
123,3448
124,3464
125,3469
126,3493
127,3521
128,3596
129,3608
130,3615
131,3638
132,3646
133,3656
134,3710
135,3771
136,3795
137,3799
138,3805
139,3940
140,3956
141,4005
142,4010
143,4033
144,4034
145,4037
146,4039
147,4040
148,4040
149,4060
150,4065
151,4086
152,4110
153,4155
154,4168
155,4187
156,4204
157,4226
158,4256
159,4307
160,4312
161,4328
162,4427
163,4487
164,4575
165,4578
166,4592
167,4647
168,4690
169,4750
170,4766
171,4771
172,4854
173,4949
174,4969
175,4982
176,4994
177,4996
178,5017
179,5027
180,5045
181,5126
182,5132
183,5153
184,5229
185,5247
186,5254
187,5369
188,5374
189,5382
190,5403
191,5424
192,5487
193,5498
194,5518
195,5594
196,5616
197,5621
198,5640
199,5650
200,5695
201,5713
202,5780
203,5815
204,5832
205,5836
206,5848
207,5880
208,5896
209,5897
210,5907
211,5927
212,5928
213,5953
214,5981
215,6003
216,6008
217,6009
218,6012
219,6061
220,6074
221,6079
222,6101
223,6139
224,6152
225,6233
226,6236
227,6243
228,6271
229,6298
230,6332
231,6332
232,6440
233,6456
234,6464
235,6489
236,6500
237,6538
238,6551
239,6563
240,6584
241,6608
242,6665
243,6675
244,6681
245,6684
246,6690
247,6713
248,6806
249,6808
250,6822
251,6823
252,6824
253,6860
254,6883
255,6886
256,6893
257,6934
258,6973
259,6981
260,7017
261,7020
262,7028
263,7031
264,7075
265,7078
266,7110
267,7147
268,7175
269,7230
270,7260
271,7273
272,7342
273,7374
274,7381
275,7428
276,7464
277,7511
278,7513
279,7514
280,7548
281,7562
282,7596
283,7622
284,7623
285,7645
286,7653
287,7669
288,7677
289,7770
290,7851
291,7899
292,7927
293,7936
294,7986
295,8025
296,8041
297,8077
298,8082
299,8116
300,8120
301,8141
302,8158
303,8168
304,8181
305,8189
306,8238
307,8303
308,8312
309,8330
310,8404
311,8430
312,8438
313,8459
314,8461
315,8471
316,8473
317,8682
318,8779
319,8779
320,8780
321,8829
322,8852
323,8861
324,8877
325,8990
326,8998
327,9013
328,9022
329,9187
330,9224
331,9248
332,9323
333,9343
334,9385
335,9385
336,9404
337,9434
338,9480
339,9481
340,9491
341,9527
342,9538
343,9542
344,9575
345,9708
346,9709
347,9747
348,9783
349,9809
350,9829
351,9834
352,9839
353,9871
354,9879
355,10041
356,10049
357,10066
358,10089
359,10120
360,10161
361,10173
362,10263
363,10270
364,10315
365,10331
366,10335
367,10379
368,10465
369,10466
370,10553
371,10569
372,10617
373,10650
374,10693
375,10697
376,10731
377,10800
378,10813
379,10881
380,10887
381,10887
382,10888
383,10967
384,11015
385,11041
386,11042
387,11128
388,11163
389,11183
390,11223
391,11302
392,11349
393,11371
394,11399
395,11434
396,11439
397,11483
398,11497
399,11509
400,11630
401,11648
402,11695
403,11800
404,11801
405,11840
406,11941
407,11944
408,11988
409,11992
410,11995
411,12024
412,12047
413,12081
414,12118
415,12130
416,12198
417,12207
418,12207
419,12258
420,12342
421,12359
422,12385
423,12385
424,12416
425,12462
426,12466
427,12479
428,12511
429,12537
430,12616
431,12645
432,12695
433,12707
434,12711
