Index,Value
0,54
1,80
2,152
3,172
4,210
5,225
6,226
7,239
8,353
9,360
10,382
11,473
12,532
13,580
14,589
15,625
16,682
17,683
18,687
19,749
20,782
21,791
22,806
23,883
24,911
25,919
26,1014
27,1055
28,1094
29,1103
30,1195
31,1315
32,1321
33,1343
34,1372
35,1418
36,1426
37,1427
38,1440
39,1473
40,1495
41,1513
42,1520
43,1544
44,1553
45,1583
46,1584
47,1587
48,1589
49,1611
50,1619
51,1636
52,1748
53,1762
54,1782
55,1813
56,1877
57,1898
58,1922
59,1938
60,1944
61,2063
62,2064
63,2069
64,2071
65,2072
66,2128
67,2137
68,2178
69,2190
70,2200
71,2211
72,2215
73,2215
74,2223
75,2228
76,2237
77,2313
78,2332
79,2382
80,2400
81,2459
82,2519
83,2533
84,2538
85,2538
86,2557
87,2561
88,2563
89,2584
90,2584
91,2611
92,2619
93,2620
94,2633
95,2665
96,2692
97,2746
98,2797
99,2826
100,2896
101,2910
102,2935
103,2993
104,3006
105,3043
106,3057
107,3087
108,3095
109,3121
110,3140
111,3206
112,3216
113,3281
114,3296
115,3313
116,3331
117,3346
118,3380
119,3402
120,3440
121,3524
122,3538
123,3552
124,3608
125,3645
126,3653
127,3664
128,3707
129,3734
130,3743
131,3760
132,3847
133,3868
134,3895
135,3947
136,3963
137,4004
138,4020
139,4060
140,4125
141,4145
142,4176
143,4191
144,4264
145,4273
146,4285
147,4315
148,4326
149,4352
150,4353
151,4403
152,4430
153,4447
154,4463
155,4533
156,4561
157,4566
158,4588
159,4637
160,4641
161,4660
162,4663
163,4663
164,4687
165,4701
166,4787
167,4844
168,4849
169,4849
170,4857
171,4869
172,4898
173,4980
174,4986
175,5003
176,5010
177,5016
178,5023
179,5042
180,5051
181,5064
182,5064
183,5079
184,5144
185,5151
186,5166
187,5210
188,5293
189,5306
190,5367
191,5369
192,5383
193,5395
194,5432
195,5449
196,5561
197,5575
198,5627
199,5631
200,5642
201,5669
202,5697
203,5699
204,5742
205,5815
206,5888
207,5897
208,5967
209,5980
210,5983
211,6156
212,6297
213,6458
214,6494
215,6536
216,6541
217,6542
218,6563
219,6570
220,6609
221,6657
222,6660
223,6667
224,6675
225,6783
226,6792
227,6882
228,6893
229,6980
230,7072
231,7183
232,7213
233,7251
234,7277
235,7292
236,7329
237,7335
238,7335
239,7342
240,7360
241,7378
242,7403
243,7436
244,7444
245,7448
246,7490
247,7491
248,7539
249,7598
250,7609
251,7652
252,7689
253,7690
254,7700
255,7742
256,7747
257,7770
258,7830
259,7883
260,7885
261,7898
262,7922
263,7959
264,8013
265,8073
266,8121
267,8126
268,8178
269,8188
270,8200
271,8201
272,8248
273,8265
274,8303
275,8361
276,8394
277,8421
278,8439
279,8502
280,8530
281,8559
282,8639
283,8642
284,8661
285,8772
286,8772
287,8775
288,8776
289,8783
290,8783
291,8818
292,8912
293,8918
294,8955
295,8960
296,8989
297,9017
298,9029
299,9062
300,9093
301,9102
302,9106
303,9140
304,9193
305,9207
306,9269
307,9380
308,9385
309,9437
310,9504
311,9532
312,9568
313,9577
314,9642
315,9704
316,9766
317,9793
318,9813
319,9830
320,9876
321,9909
322,9915
323,9926
324,9947
325,10084
326,10176
327,10245
328,10280
329,10294
330,10314
331,10333
332,10340
333,10414
334,10449
335,10467
336,10480
337,10484
338,10577
339,10581
340,10583
341,10606
342,10628
343,10629
344,10664
345,10677
346,10697
347,10730
348,10732
349,10791
350,10824
351,10871
352,10930
353,10949
354,10967
355,11032
356,11045
357,11048
358,11163
359,11168
360,11245
361,11259
362,11291
363,11298
364,11306
365,11338
366,11368
367,11380
368,11426
369,11429
370,11462
371,11467
372,11479
373,11546
374,11593
375,11594
376,11598
377,11636
378,11683
379,11709
380,11736
381,11796
382,11814
383,11824
384,11827
385,11864
386,11905
387,11917
388,11946
389,11957
390,11959
391,12040
392,12068
393,12086
394,12094
395,12147
396,12156
397,12182
398,12186
399,12229
400,12285
401,12303
402,12439
403,12442
404,12483
405,12487
406,12490
407,12502
408,12503
409,12527
410,12533
411,12552
412,12557
413,12615
414,12633
415,12674
416,12751
417,12763
418,12829
419,12846
420,12850
421,12854
422,12887
423,12896
424,13004
425,13025
426,13032
427,13035
428,13101
429,13104
430,13205
431,13208
432,13226
433,13253
434,13271
435,13273
436,13313
437,13416
438,13430
439,13471
440,13544
441,13571
442,13573
443,13643
444,13707
445,13756
446,13773
447,13777
448,13803
449,13873
450,13914
451,13956
452,13975
453,13983
454,13983
455,14035
456,14046
457,14057
458,14121
459,14184
460,14196
461,14198
462,14204
463,14210
464,14213
465,14260
466,14263
467,14273
468,14281
469,14366
470,14387
471,14426
472,14522
473,14524
474,14530
475,14536
476,14544
477,14584
478,14621
479,14730
480,14864
481,14864
482,14868
483,14904
484,14911
485,14921
486,14933
487,14990
488,15022
489,15027
490,15046
491,15053
492,15062
493,15084
494,15091
495,15106
496,15122
497,15148
498,15203
499,15209
500,15226
501,15250
502,15341
503,15409
504,15449
505,15471
506,15474
507,15571
508,15601
509,15615
510,15630
511,15668
512,15716
513,15719
514,15768
515,15812
516,15852
517,15887
518,15904
519,15979
520,15999
521,16023
522,16041
523,16077
524,16078
525,16114
526,16140
527,16148
528,16162
529,16174
530,16187
531,16196
532,16217
533,16231
534,16271
535,16280
536,16334
537,16358
538,16440
539,16456
540,16462
541,16515
542,16524
543,16565
544,16601
545,16625
546,16711
547,16715
548,16721
549,16730
550,16768
551,16783
552,16802
553,16815
554,16818
555,16842
556,16887
557,16893
558,16963
559,16990
560,17031
561,17065
562,17070
563,17094
564,17100
565,17237
566,17249
567,17261
568,17282
569,17335
570,17366
571,17427
572,17448
573,17455
574,17557
575,17616
576,17661
577,17668
578,17729
579,17738
580,17816
581,17876
582,17890
583,17938
584,17961
585,17972
586,17992
587,18011
588,18063
589,18076
590,18104
591,18166
592,18172
593,18174
594,18192
595,18234
596,18279
597,18289
598,18319
599,18368
600,18419
601,18519
602,18570
603,18574
604,18584
605,18602
606,18624
607,18627
608,18631
609,18693
610,18702
611,18777
612,18800
613,18801
614,18830
615,18873
616,18882
617,18901
618,18915
619,18921
620,18966
621,18969
622,18987
623,19005
624,19024
625,19083
626,19116
627,19120
628,19131
629,19146
630,19149
631,19167
632,19174
633,19175
634,19192
635,19231
636,19241
637,19242
638,19256
639,19340
640,19344
641,19547
642,19549
643,19570
644,19601
645,19603
646,19615
647,19660
648,19768
649,19774
650,19779
651,19781
652,19796
653,19809
654,19845
655,19909
656,19949
657,19956
658,20024
659,20046
660,20075
661,20138
662,20180
663,20262
664,20316
665,20347
666,20401
667,20403
668,20453
669,20459
670,20498
671,20503
672,20554
673,20558
674,20572
675,20656
676,20656
677,20675
678,20727
679,20765
680,20819
681,20849
682,20884
683,20909
684,20927
685,20933
686,20984
687,21017
688,21018
689,21060
690,21070
691,21090
692,21144
693,21167
694,21179
695,21191
696,21231
697,21237
698,21244
699,21251
700,21273
701,21283
702,21335
703,21360
704,21368
705,21371
706,21371
707,21399
708,21455
709,21505
710,21570
711,21591
712,21608
713,21674
714,21693
715,21694
716,21696
717,21696
718,21793
719,21804
720,21846
721,21849
722,21861
723,21868
724,21998
725,22036
726,22078
727,22100
728,22107
729,22114
730,22135
731,22269
732,22372
733,22499
734,22510
