Index,Value
0,20155
1,29380
2,7672
3,13791
4,22
5,145
6,150
7,160
8,203
9,349
10,359
11,366
12,404
13,449
14,488
15,502
16,662
17,663
18,672
19,683
20,684
21,692
22,718
23,809
24,837
25,885
26,891
27,923
28,934
29,951
30,953
31,957
32,957
33,989
34,1002
35,1012
36,1024
37,1036
38,1058
39,1077
40,1082
41,1095
42,1131
43,1140
44,1142
45,1145
46,1186
47,1216
48,1218
49,1225
50,1246
51,1249
52,1260
53,1263
54,1279
55,1361
56,1397
57,1401
58,1424
59,1439
60,1461
61,1477
62,1501
63,1527
64,1586
65,1600
66,1624
67,1652
68,1661
69,1686
70,1721
71,1751
72,1758
73,1780
74,1787
75,1787
76,1823
77,1892
78,1949
79,1967
80,2013
81,2016
82,2053
83,2061
84,2134
85,2142
86,2144
87,2159
88,2161
89,2203
90,2303
91,2314
92,2325
93,2333
94,2359
95,2376
96,2414
97,2428
98,2488
99,2496
100,2534
101,2536
102,2540
103,2549
104,2549
105,2551
106,2567
107,2602
108,2606
109,2608
110,2615
111,2656
112,2667
113,2690
114,2731
115,2751
116,2863
117,2863
118,2905
119,2922
120,2951
121,2971
122,3044
123,3065
124,3140
125,3168
126,3196
127,3305
128,3366
129,3429
130,3509
131,3541
132,3560
133,3591
134,3642
135,3687
136,3713
137,3719
138,3746
139,3783
140,3795
141,3841
142,3896
143,3897
144,3900
145,3911
146,3920
147,4040
148,4100
149,4126
150,4206
151,4210
152,4231
153,4267
154,4291
155,4293
156,4356
157,4372
158,4392
159,4399
160,4402
161,4526
162,4526
163,4539
164,4576
165,4584
166,4621
167,4637
168,4669
169,4719
170,4767
171,4782
172,4783
173,4856
174,4897
175,4922
176,5009
177,5014
178,5022
179,5038
180,5114
181,5119
182,5148
183,5154
184,5166
185,5190
186,5201
187,5251
188,5269
189,5302
190,5328
191,5382
192,5405
193,5406
194,5414
195,5425
196,5441
197,5465
198,5510
199,5522
200,5586
201,5668
202,5767
203,5775
204,5794
205,5807
206,5844
207,5877
208,5953
209,5957
210,5973
211,6019
212,6027
213,6028
214,6049
215,6059
216,6089
217,6114
218,6137
219,6245
220,6350
221,6361
222,6371
223,6376
224,6405
225,6455
226,6519
227,6559
228,6582
229,6626
230,6637
231,6642
232,6671
233,6686
234,6736
235,6797
236,6803
237,6822
238,6832
239,6872
240,6923
241,6923
242,6991
243,7053
244,7192
245,7204
246,7218
247,7229
248,7273
249,7333
250,7348
251,7415
252,7452
253,7478
254,7568
255,7576
256,7588
257,7635
258,7646
259,7664
260,7671
261,7682
262,7699
263,7737
264,7771
265,7802
266,7803
267,7810
268,7815
269,7826
270,7846
271,7859
272,7874
273,7884
274,7895
275,7908
276,7918
277,7920
278,7921
279,7993
280,7995
281,8036
282,8042
283,8097
284,8132
285,8134
286,8153
287,8229
288,8236
289,8245
290,8253
291,8259
292,8282
293,8287
294,8301
295,8318
296,8344
297,8386
298,8468
299,8472
300,8565
301,8665
302,8728
303,8786
304,8793
305,8869
306,8876
307,8918
308,8918
309,8919
310,8926
311,8969
312,8985
313,8989
314,9042
315,9074
316,9079
317,9087
318,9095
319,9133
320,9152
321,9154
322,9159
323,9180
324,9287
325,9312
326,9351
327,9356
328,9421
329,9470
330,9484
331,9489
332,9495
333,9505
334,9547
335,9590
336,9604
337,9676
338,9684
339,9712
340,9732
341,9756
342,9762
343,9765
344,9773
345,9778
346,9827
347,9833
348,9834
349,9840
350,9857
351,9857
352,9918
353,9921
354,9951
355,10006
356,10009
357,10044
358,10052
359,10083
360,10136
361,10317
362,10334
363,10358
364,10404
365,10406
366,10424
367,10474
368,10481
369,10502
370,10565
371,10584
372,10655
373,10737
374,10742
375,10758
376,10765
377,10772
378,10784
379,10795
