Index,Value
0,10116
1,535
2,11040
3,29075
4,11431
5,28649
6,7257
7,19628
8,18491
9,22855
10,24362
11,11024
12,10688
13,11158
14,11365
15,7336
16,14232
17,5317
18,10938
19,20028
20,29439
21,7703
22,19403
23,28027
24,19824
25,16528
26,25465
27,20871
28,22485
29,12659
30,24618
31,23321
32,10528
33,5785
34,9737
35,11464
36,12450
37,25908
38,22775
39,25859
40,13656
41,25140
42,28917
43,4819
44,24807
45,14437
46,26539
47,2428
48,7040
49,3896
50,15749
51,4344
52,22813
53,20417
54,2607
55,20818
56,4456
57,27960
58,11424
59,14714
60,23782
61,1659
62,10702
63,23823
64,9749
65,11287
66,24364
67,7149
68,13527
69,24287
70,18864
71,14621
72,26802
73,28594
74,4382
75,29348
76,18498
77,19675
78,12405
79,29216
80,24949
81,23660
82,5448
83,3782
84,17039
85,23053
86,497
87,5661
88,10172
89,11036
90,10768
91,29713
92,14359
93,23833
94,12367
95,9921
96,14974
97,29455
98,392
99,4840
100,5319
101,4708
102,5997
103,15548
104,17618
105,9929
106,2974
107,23824
108,24486
109,13193
110,19040
111,14494
112,28691
113,17363
114,23647
115,18241
116,14539
117,5510
118,12094
119,15143
120,25703
121,17989
122,20252
123,10332
124,25243
125,23321
126,21235
127,13767
128,3030
129,11140
130,19517
131,14542
132,943
133,7217
134,25082
135,25413
136,17375
137,6222
138,12242
139,6090
140,10709
141,17859
142,25663
143,21867
144,13266
145,3559
146,12645
147,25578
148,1926
149,18371
150,13299
151,21786
152,10203
153,14576
154,14368
155,8507
156,9654
157,8517
158,15790
159,13799
160,1573
161,27839
162,19543
163,8991
164,5765
165,19034
166,11858
167,12593
168,13778
169,28559
170,26314
171,23889
172,12314
173,13916
174,1451
175,7996
176,13885
177,20686
178,5874
179,13108
180,6936
181,15931
182,11037
183,21739
184,4966
185,19130
186,9713
187,19536
188,11639
189,4514
190,18333
191,6310
192,17079
193,15610
194,18880
195,5089
196,14266
197,24149
198,23833
199,8805
200,4552
201,25854
202,5286
203,25334
204,8403
205,11865
206,5017
207,10883
208,13789
209,896
210,14861
211,25121
212,18822
213,5999
214,20879
215,12734
216,826
217,21223
218,26697
219,7058
220,13337
221,8136
222,15865
223,18268
224,4748
225,724
226,21959
227,3313
228,6780
229,22984
230,4845
231,1714
232,17180
233,14153
234,29983
235,17779
236,11879
237,4663
238,28560
239,7970
240,21907
241,10392
242,15230
243,2672
244,7627
245,28761
246,29005
247,5322
248,25479
249,28968
250,12303
251,3482
252,2016
253,4551
254,6287
255,18971
256,2762
257,25077
258,1826
259,21930
260,24939
261,13726
262,16443
263,14558
264,3708
265,9615
266,1310
267,1647
268,3127
269,12323
270,59
271,20689
272,14351
273,18016
274,1122
