Index,Value
0,22279
1,3383
2,19730
3,24603
4,981
5,1122
6,1348
7,1615
8,1819
9,2433
10,2695
11,2786
12,2998
13,3434
14,3486
15,3703
16,4326
17,4577
18,4778
19,4863
20,4979
21,5660
22,5765
23,5889
24,6061
25,6083
26,6089
27,6203
28,6745
29,6943
30,7166
31,7389
32,8585
33,8622
34,9066
35,9931
36,10004
37,10082
38,10132
39,10508
40,10618
41,10645
42,10968
43,11261
44,11289
45,11897
46,11951
47,12050
48,12062
49,12812
50,13052
51,13100
52,13318
53,13524
54,13586
55,13611
56,14648
57,15263
58,15366
59,15515
60,15838
61,16161
62,16233
63,16638
64,16783
65,16955
66,17194
67,17263
68,18493
69,19201
70,19387
71,19811
72,20144
73,20353
74,21465
75,21515
76,21848
77,22674
78,22799
79,22916
80,23011
81,23883
82,24033
83,24552
84,24748
85,24823
86,25920
87,26005
88,26017
89,26296
90,26534
91,26876
92,27664
93,27775
94,28043
95,28111
96,28877
97,29009
98,29187
99,29219
100,29491
101,14366
102,26231
103,15964
104,9240
105,10129
106,27570
107,15063
108,18245
109,3373
110,18149
111,3199
112,29024
113,23103
114,23665
115,29202
116,7322
117,28417
118,1355
119,8488
120,9747
121,18640
122,7540
123,13048
124,14279
125,28507
126,6635
127,11703
128,8155
129,25529
130,24823
131,11846
132,18472
133,11324
134,2545
135,20059
136,27128
137,27153
138,1321
139,3319
140,28473
141,19525
142,15915
143,28673
144,23448
145,22214
146,671
147,15540
148,315
149,17715
150,3322
151,1980
152,20594
153,19383
154,4695
155,12995
156,27804
157,20783
158,719
159,10288
160,22159
161,16925
162,8643
163,3030
164,6558
165,24407
166,25762
167,6509
168,19590
169,16236
170,6775
171,25358
172,9771
173,8949
174,20107
175,5705
176,25018
177,21621
178,8189
179,18940
180,16590
181,17284
182,13538
183,7064
184,4951
185,23073
186,977
187,27438
188,18771
189,5628
190,29488
191,21769
192,15370
193,19148
194,25250
195,12611
196,6641
197,29188
198,7853
199,9889
200,109
201,15107
202,550
203,10140
204,1656
205,29812
206,2319
207,1917
208,28027
209,2904
210,16572
211,29800
212,24522
213,12887
214,22058
215,19005
216,23734
217,19577
218,10639
219,23378
220,5382
221,19131
222,8657
223,25029
224,4304
225,14013
226,12119
227,27334
228,15359
229,4820
230,22285
231,5328
232,5687
233,24793
234,8949
235,21507
236,17330
237,12938
238,969
239,22196
240,8819
241,28864
242,22667
243,23493
244,15360
245,18723
246,9196
247,24604
248,11430
249,15998
250,25559
251,13188
252,16037
253,20511
254,9781
255,21900
256,18983
257,24777
258,18227
259,22506
260,8021
261,29529
262,15643
263,5288
264,511
265,240
266,5939
267,17593
268,27633
269,27030
270,825
271,10184
272,25850
273,13611
274,23091
275,706
276,12522
277,11506
278,5925
279,28483
280,5939
281,14253
282,13610
283,6699
284,23218
285,18396
286,4518
287,7297
288,1106
289,8094
290,20442
291,16244
292,21035
293,17537
294,8628
295,16831
296,22369
297,24863
298,9377
299,18269
300,14888
301,740
302,18301
303,22540
304,4663
305,16007
306,3620
307,5741
308,29005
309,2424
310,12708
311,22343
312,23038
313,20465
314,2125
315,23608
316,4973
317,18498
318,13854
319,24727
320,3192
321,4285
322,14141
323,14712
324,22216
325,18420
326,9224
327,22303
328,17803
329,22250
330,13110
331,28012
332,12253
333,8357
334,6247
335,16055
336,28748
337,28764
338,23562
339,18448
340,27034
341,11247
342,1553
343,23804
344,3519
345,6958
346,10702
347,2947
348,27513
349,19084
350,22237
351,20189
352,25632
353,2716
354,11160
355,28232
356,26303
357,2729
358,4052
359,14173
360,3716
361,24853
362,26914
363,27538
364,5144
365,14372
366,27270
367,4278
368,12829
369,20214
370,11671
371,4214
372,29099
373,28877
374,240
375,881
376,18184
377,28178
378,24130
379,22821
380,15704
381,2613
382,13402
383,12129
384,7788
385,15742
386,4125
387,262
388,18744
389,24767
390,10299
391,23865
392,5500
393,16744
394,7693
395,8117
396,10173
397,17704
398,2152
399,2081
400,5357
401,17262
402,8014
403,2959
404,14884
405,5770
406,25368
407,28102
408,2155
409,14725
410,5031
411,23237
412,2887
413,18059
414,870
415,21917
416,14016
417,686
418,10152
419,7561
420,12646
421,16408
422,10312
423,13405
424,5859
425,13586
426,26477
427,16738
428,3563
429,2414
430,9369
431,8953
432,1500
433,15403
434,2201
435,15379
436,26312
437,5718
438,10344
439,20055
440,9496
441,1462
442,17610
443,2169
444,15113
445,20175
446,3134
447,13488
448,26713
449,1440
450,9267
451,5478
452,14305
453,21353
454,14484
455,29952
456,17159
457,8319
458,4289
459,11578
460,7405
461,23668
462,5021
463,12953
464,5167
465,16634
466,1947
467,1768
468,7788
469,4375
470,2546
471,16630
472,4958
473,22516
474,27948
475,5074
476,12457
477,20805
478,19411
479,22053
480,18177
481,15846
482,7943
483,27602
484,9875
485,8544
486,9675
487,28473
488,19625
489,15252
490,19245
491,29939
492,4439
493,444
494,15052
495,15734
496,8847
497,235
498,12653
499,18667
500,9557
501,6748
502,8094
503,28501
504,16796
505,27830
506,11935
507,27683
508,13643
509,1540
510,16330
511,2695
512,21713
513,25028
514,28869
515,14767
516,580
517,2559
518,16292
519,24879
520,7915
521,23183
522,19728
523,25380
524,25304
525,24814
526,19620
527,9170
528,23958
529,28485
530,19948
531,2864
532,20418
533,22007
534,25569
535,11767
536,25061
537,3461
538,2042
539,24517
540,19648
541,8160
542,572
543,15280
544,28310
545,29110
546,9677
547,287
548,28093
549,13622
550,27984
551,22874
552,26715
553,17000
554,10049
555,17069
556,13933
557,27329
558,25078
559,16188
560,16431
561,22794
562,660
563,8033
564,14926
565,5749
566,20463
567,155
568,26062
569,10516
570,26144
571,17188
572,28948
573,3581
574,26498
575,25277
576,18913
577,2170
578,12171
579,26802
580,4339
581,20286
582,8749
583,5644
584,23216
585,6254
586,16202
587,11781
588,3163
589,15450
590,12629
591,23206
592,28504
593,13356
594,17659
595,6077
596,23316
597,28365
598,22825
599,11272
600,25211
601,25022
602,17560
603,17733
604,21884
605,4223
606,14854
607,6804
608,12535
609,17368
610,11012
611,11504
612,27977
613,19716
614,19059
615,23042
616,25928
617,22102
618,18632
619,27740
620,663
621,26056
622,15347
623,23611
624,17357
625,14915
626,2372
627,19056
628,24517
629,16306
630,22962
631,163
632,23037
633,6808
634,7154
635,23977
636,4744
637,29501
638,2365
639,7380
640,12205
641,12756
642,27065
643,8958
644,12851
645,11026
646,24581
647,4515
648,15417
649,15539
650,20406
651,22580
652,18080
653,27878
654,20395
655,8422
656,22975
657,4677
658,22939
659,22803
660,5762
661,16391
662,9536
663,20804
664,20325
665,12840
666,29543
667,612
668,29589
669,14609
670,25063
671,13402
672,15877
673,25864
674,6744
675,6648
676,11570
677,7702
678,17966
679,3440
680,16102
681,22313
682,26624
683,25900
684,24786
685,24827
686,9908
687,13788
688,11276
689,10414
690,19011
691,3210
692,20609
693,21262
694,26817
695,3494
696,5560
697,24072
698,17985
699,12581
700,23617
701,2215
702,15250
703,16784
704,22728
705,11152
706,14854
707,6122
708,23624
709,12640
710,11659
711,2664
712,10131
713,22956
714,26126
715,25994
716,11348
717,14442
718,12051
719,2405
720,2050
721,23716
722,26261
723,18245
724,2761
725,2661
726,24251
727,8242
728,13080
729,16485
730,5584
731,24628
732,24088
733,29354
734,6194
735,3825
736,22858
737,386
738,1051
739,4215
740,9148
741,12953
742,21442
743,8120
744,20487
745,8103
746,1436
747,27747
748,21768
749,10004
750,8231
751,25324
752,13598
753,29648
754,29049
755,4662
756,3608
757,9209
758,22858
759,21954
760,10667
761,7393
762,29537
763,8161
764,10684
765,24012
766,12631
767,1797
768,25457
769,13809
770,7299
771,13985
772,5939
773,15977
774,8703
775,7529
776,1836
777,7072
778,12007
779,1932
780,25504
781,5328
782,8097
783,16962
784,18236
785,24675
786,21843
787,24261
788,13451
789,3627
790,20783
791,21035
792,7475
793,29498
794,9862
795,18353
796,26465
797,23142
798,29979
799,25528
800,846
801,28031
802,16254
803,14348
804,3456
805,23056
806,2791
807,13043
808,480
809,11184
810,21232
811,8661
812,11349
813,8417
814,11992
815,8954
816,16849
817,9662
818,11546
819,12706
820,23563
821,20159
822,16849
823,88
824,17614
825,11333
826,19515
827,18490
828,7131
829,25149
830,16361
831,17881
832,22098
833,4999
834,27250
835,24431
836,5204
837,26930
838,3782
839,8125
840,29347
841,10039
842,5732
843,3123
844,19321
845,795
846,28795
847,28489
848,26167
849,6814
850,20368
851,7698
852,1711
853,13565
854,25412
855,7532
856,20892
857,12521
858,3004
859,7096
860,15538
861,2054
862,16163
863,28729
864,4963
865,2836
866,24970
867,2368
868,4095
869,10861
870,15281
871,22286
872,16248
873,14527
874,22660
875,17644
876,4861
877,12799
878,29483
879,4355
880,17380
881,21459
882,6259
883,13635
884,19311
885,21449
886,14253
887,6747
888,6023
889,20968
890,5646
891,8660
892,8947
893,5717
894,3768
895,28481
896,28303
897,4247
898,15978
899,884
900,16389
901,23014
902,18269
903,27592
904,10918
905,16318
906,28513
907,14315
908,23046
909,22703
910,7489
911,16067
912,16098
913,7927
914,29547
915,4487
916,13407
917,2879
918,20481
919,27483
920,16783
921,10039
922,21210
923,20922
924,16658
925,12503
926,23939
927,20620
928,3111
929,21992
930,9259
931,13856
932,877
933,27382
934,19764
935,24699
936,19467
937,776
938,23596
939,19227
940,23209
941,18748
942,4880
943,5072
944,3353
945,10053
946,4320
947,17601
948,26546
949,22839
950,25743
951,26291
952,4919
953,7256
954,15175
955,13913
956,25907
957,7301
958,22335
959,19710
960,15394
961,5672
962,20495
963,18108
964,8385
965,28773
966,28577
967,22036
968,1580
969,14650
970,23072
971,12655
972,18567
973,24116
974,1325
975,8120
976,9448
977,2536
978,10834
979,15912
980,21781
981,13527
982,21529
983,26207
984,28205
985,6060
986,9189
987,12626
988,14849
989,8525
990,8489
991,29631
992,25639
993,5044
994,4064
995,171
996,11489
997,11192
998,14346
999,18565
1000,26235
1001,11547
1002,14238
1003,2316
1004,23707
1005,21794
1006,15949
1007,18439
1008,14221
1009,11766
1010,19684
1011,23730
1012,3216
1013,18237
1014,11007
1015,10707
1016,26459
1017,24993
1018,12202
1019,20465
1020,19880
1021,9458
1022,2236
1023,5033
1024,10084
1025,27029
1026,11283
1027,12145
1028,12011
1029,26140
1030,5567
1031,18469
1032,26423
1033,14463
1034,13253
1035,14903
1036,17740
1037,11698
1038,15944
1039,28116
1040,26652
1041,14029
1042,27592
1043,14775
1044,25004
1045,8771
1046,1464
1047,23966
1048,18538
1049,18777
1050,21854
1051,10377
1052,28606
1053,22632
1054,4662
1055,2338
1056,9515
1057,12708
1058,7530
1059,2856
1060,28427
1061,20158
1062,3372
1063,11557
1064,22577
1065,19140
1066,19649
1067,7815
1068,15802
1069,26464
1070,2974
1071,4990
1072,4484
1073,12394
1074,21396
1075,24105
1076,9624
1077,24641
1078,471
1079,15377
1080,8479
1081,10292
1082,1184
1083,12400
1084,17523
1085,17451
1086,20604
1087,21139
1088,442
1089,11221
1090,17064
1091,17584
1092,25433
1093,18386
1094,8559
1095,8005
1096,19718
1097,5879
1098,5921
1099,11114
1100,13960
1101,13917
1102,20552
1103,19196
1104,19541
1105,981
1106,24209
1107,3265
1108,12488
1109,6192
1110,1324
1111,25392
1112,9556
1113,22773
1114,16484
1115,1798
1116,18055
1117,20321
1118,8639
1119,27718
1120,26668
1121,26399
1122,20154
1123,24213
1124,22491
1125,26187
1126,22259
1127,15824
1128,2039
1129,5789
1130,6756
1131,6232
1132,4224
1133,9538
1134,8446
1135,27424
1136,21614
1137,24224
1138,704
1139,13957
1140,28930
1141,19066
1142,24857
1143,23140
1144,10673
1145,25484
1146,12746
1147,5747
1148,20646
1149,8426
1150,17787
1151,8620
1152,19764
1153,5310
1154,26915
1155,19508
1156,180
1157,9266
1158,22517
1159,1794
1160,9778
1161,4132
1162,26358
1163,7894
1164,16392
1165,29141
1166,9107
1167,14253
1168,23378
1169,29910
1170,28419
1171,7716
1172,9388
1173,27851
1174,8221
1175,15016
1176,25717
1177,22976
1178,29038
1179,12956
1180,23039
1181,16299
1182,16177
1183,28990
1184,29575
1185,3673
1186,3882
1187,7669
1188,9499
1189,17545
1190,22436
1191,2033
1192,29423
1193,28916
1194,1543
1195,27018
1196,3781
1197,11326
1198,11208
1199,5807
1200,26256
1201,24852
1202,6326
1203,23392
1204,13783
1205,804
1206,14064
1207,24974
1208,27031
1209,591
1210,22091
1211,22208
1212,16971
1213,29348
1214,16905
1215,20280
1216,2858
1217,16067
1218,14943
1219,3707
1220,21719
1221,21536
1222,11716
1223,5069
1224,6817
1225,5666
1226,3286
1227,16976
1228,12033
1229,29638
1230,10669
1231,7460
1232,2074
1233,22497
1234,28403
1235,11226
1236,151
1237,22569
1238,12303
1239,6245
1240,28588
1241,24781
1242,26377
1243,6914
1244,25312
1245,13076
1246,22512
1247,22558
1248,4116
1249,25664
1250,7410
1251,278
1252,5969
1253,5541
1254,14101
1255,5360
1256,27133
1257,7943
1258,4135
1259,15562
1260,24810
1261,16485
1262,13456
1263,27506
1264,503
1265,14362
1266,4425
1267,22131
1268,3395
1269,2865
1270,28827
1271,1362
1272,25572
1273,1918
1274,19326
1275,3791
1276,26732
1277,6421
1278,16877
1279,19389
1280,15437
1281,22216
1282,7497
1283,24012
1284,29745
1285,2959
1286,13740
1287,12883
1288,11904
1289,18490
1290,21622
1291,17803
1292,10076
1293,20343
1294,6086
1295,15857
1296,7856
1297,19416
1298,20571
1299,2999
1300,4086
1301,10802
1302,28086
1303,24264
1304,18595
1305,27863
1306,14824
1307,3609
1308,4011
1309,5106
1310,18937
1311,12107
1312,19490
1313,15121
1314,2379
1315,9316
1316,23585
1317,5642
1318,13495
1319,28738
1320,4488
1321,27735
1322,8546
1323,2534
1324,19631
1325,8092
1326,15664
1327,4389
1328,18245
1329,22317
1330,23450
1331,16530
1332,5922
1333,14520
1334,16067
1335,24194
1336,24592
1337,3258
1338,7513
1339,14614
1340,23213
1341,22845
1342,26009
1343,24248
1344,28383
1345,25014
1346,24920
1347,2700
1348,24583
1349,16605
1350,1799
1351,17716
1352,6479
1353,20871
1354,16961
1355,577
1356,23510
1357,21449
1358,7148
1359,25700
1360,9604
1361,1338
1362,16008
1363,17227
1364,25003
1365,27127
1366,21944
1367,22756
1368,21418
1369,4583
1370,8804
1371,3466
1372,8496
1373,17430
1374,12473
1375,16919
1376,2905
1377,26612
1378,21084
1379,13161
1380,1160
1381,11700
1382,15004
1383,13146
1384,26335
1385,3085
1386,19884
1387,1867
1388,14881
1389,16997
1390,860
1391,28532
1392,3972
1393,3708
1394,20118
1395,17120
1396,19992
1397,5855
1398,28142
1399,5293
1400,261
1401,9712
1402,24897
1403,22251
1404,21546
1405,20445
1406,17911
1407,9272
1408,17974
1409,29864
1410,29531
1411,12318
1412,23375
1413,4199
1414,11089
1415,14205
1416,29753
1417,4983
1418,17855
1419,28528
1420,6065
1421,10142
1422,15789
1423,16710
1424,16411
1425,14327
1426,4769
1427,18167
1428,19813
1429,17870
1430,21082
1431,17219
1432,9447
1433,19254
1434,2067
1435,15618
1436,11418
1437,5858
1438,6162
1439,17044
1440,1583
1441,17378
1442,5711
1443,2914
1444,11897
1445,13393
1446,17011
1447,27461
1448,29566
1449,22156
1450,26836
1451,9136
1452,19571
1453,28679
1454,11296
1455,3456
1456,2960
1457,15274
1458,14468
1459,19128
1460,21997
1461,13515
1462,21024
1463,6330
1464,21125
1465,16221
1466,26607
1467,28522
1468,1130
1469,26557
1470,7633
1471,18185
1472,27826
1473,18348
1474,3966
1475,15029
1476,5110
1477,24418
1478,14088
1479,13980
1480,7149
1481,11628
1482,8398
1483,21696
1484,9387
1485,29665
1486,385
1487,6848
1488,23146
1489,20688
1490,9007
1491,18370
1492,29340
1493,9182
1494,15521
1495,18655
1496,196
1497,19146
1498,28720
1499,26865
1500,10311
1501,16031
1502,23286
1503,29328
1504,16100
1505,21058
1506,16812
1507,12746
1508,2029
1509,1870
1510,8571
1511,24673
1512,3081
1513,14201
1514,4791
1515,26759
1516,29444
1517,17608
1518,10258
1519,9634
1520,24945
1521,6070
1522,10104
1523,443
1524,16760
1525,29844
1526,14861
1527,7789
1528,6176
1529,6441
1530,23937
1531,4493
1532,11581
1533,3720
1534,29665
1535,17600
1536,29773
1537,24800
1538,10000
1539,3293
1540,24907
1541,19028
1542,12479
1543,5294
1544,25827
1545,22674
1546,7486
1547,11883
1548,25035
1549,21978
1550,28905
1551,23757
1552,5038
1553,759
1554,16975
1555,18158
1556,29943
1557,2257
1558,135
1559,14188
1560,2250
1561,15452
1562,11544
1563,16974
1564,2575
1565,16221
1566,23096
1567,9782
1568,17545
1569,17561
1570,23157
1571,7666
1572,445
1573,21025
1574,14885
1575,24503
1576,26011
1577,15911
1578,10639
1579,412
1580,4350
1581,9119
1582,16105
1583,22148
1584,28230
1585,7055
1586,21869
1587,1105
1588,14046
1589,13173
1590,29000
1591,11238
1592,1304
1593,13073
1594,23372
1595,686
1596,6581
1597,1269
1598,29600
1599,16500
1600,25878
1601,12492
1602,6299
1603,14053
1604,24470
1605,1427
1606,14924
1607,1370
1608,13310
1609,24658
1610,8540
1611,14390
1612,5861
1613,29790
1614,22764
1615,29626
1616,4845
1617,21059
1618,13949
1619,14223
1620,2562
1621,8528
1622,6792
1623,25628
1624,24043
1625,21208
1626,26368
1627,19304
1628,7724
1629,29981
1630,26521
1631,21297
1632,3927
1633,28472
1634,1420
1635,18541
1636,9754
1637,289
1638,16159
1639,1440
1640,28435
1641,18052
1642,12636
1643,18667
1644,9069
1645,6123
1646,9277
1647,27174
1648,6960
1649,20125
1650,3355
1651,18511
1652,26586
1653,5968
1654,21898
1655,2755
1656,17204
1657,7049
1658,13148
1659,18487
1660,11172
1661,10977
1662,20994
1663,28561
1664,15265
1665,28670
1666,27537
1667,4733
1668,16887
1669,15350
1670,22016
1671,13672
1672,27080
1673,19858
1674,10509
1675,12883
1676,26538
1677,2815
1678,28663
1679,11705
1680,20721
1681,8156
1682,7944
1683,6209
1684,2469
1685,15950
1686,23659
1687,5507
1688,27527
1689,24649
1690,11391
1691,656
1692,26955
1693,21659
1694,8554
1695,1654
1696,23809
1697,21100
1698,6257
1699,26143
1700,19433
1701,10997
1702,18362
1703,6366
1704,12020
1705,8154
1706,10882
1707,19287
1708,17836
1709,11599
1710,22250
1711,12857
1712,25802
1713,7925
1714,27275
1715,4879
1716,19384
1717,3625
1718,1680
1719,20719
1720,6595
1721,18094
1722,5841
1723,8981
1724,23816
1725,19542
1726,3406
1727,2911
1728,21866
1729,13216
1730,8839
1731,18795
1732,10553
1733,24054
1734,6660
1735,26954
1736,22016
1737,15517
1738,9637
1739,20925
1740,24797
1741,9865
1742,26402
1743,13628
1744,18944
1745,17162
1746,18768
1747,13670
1748,19682
1749,4559
1750,7054
1751,12892
1752,5082
1753,28358
1754,807
1755,28929
1756,21986
1757,5777
1758,22537
1759,16915
1760,25535
1761,5115
1762,8349
1763,1935
1764,24833
1765,20460
1766,14007
1767,3970
1768,12463
1769,23555
1770,22358
1771,11359
1772,12099
1773,16044
1774,7255
1775,22896
1776,11867
1777,29749
1778,9358
1779,29909
1780,17173
1781,21151
1782,29896
1783,29828
1784,29045
1785,27341
1786,26023
1787,20067
1788,29516
1789,14894
1790,13446
1791,10361
1792,18168
1793,10546
1794,19350
1795,18270
1796,7717
1797,6552
1798,10054
1799,10826
1800,4344
1801,29888
1802,5304
1803,24130
1804,3569
1805,27894
1806,7962
1807,10636
1808,8840
1809,7411
1810,1327
1811,10409
1812,25706
1813,26490
1814,27439
1815,13951
1816,7092
1817,17062
1818,27464
1819,8372
1820,2339
1821,20056
1822,16456
1823,23750
1824,14748
1825,10546
1826,10059
1827,28146
1828,23846
1829,4446
1830,25678
1831,20732
1832,20901
1833,10086
1834,6971
1835,13231
1836,28042
1837,14917
1838,8987
1839,24755
1840,23538
1841,13304
1842,27734
1843,1201
1844,29492
1845,8885
1846,22757
1847,18009
1848,20348
1849,566
1850,17475
1851,1
1852,7072
1853,15187
1854,1102
1855,18347
1856,20666
1857,3152
1858,23128
1859,28096
1860,7850
1861,4541
1862,8856
1863,4886
1864,7420
1865,10556
1866,15505
1867,4156
1868,14022
1869,4861
1870,25471
1871,10484
1872,11696
1873,18837
1874,28190
1875,6524
1876,14694
1877,26081
1878,4787
1879,8218
1880,12939
1881,15538
1882,5286
1883,17412
1884,9031
1885,29402
1886,3548
1887,22632
1888,10093
1889,8638
1890,25814
1891,7490
1892,22483
1893,3788
1894,17545
1895,27288
1896,950
1897,10604
1898,28502
1899,8742
1900,11386
1901,26287
1902,10744
1903,14802
1904,21168
1905,14952
1906,4278
1907,23368
1908,19464
1909,23380
1910,10165
1911,25373
1912,5774
1913,9704
1914,9414
1915,1418
1916,17886
1917,10305
1918,14176
1919,25265
1920,7529
1921,8329
1922,21921
1923,10
1924,22336
1925,29178
1926,16978
1927,26718
1928,28827
1929,19836
1930,24636
1931,27050
1932,1427
1933,6369
1934,16785
1935,21164
1936,5782
